"","rok","strata","linia"
"1",1989,20592.1,"Buss_Distr"
"2",1989,2069.71,"Buss_Distr"
"3",1989,1756.93,"Buss_Distr"
"4",1989,21100.68,"Buss_Distr"
"5",1989,58980.88,"Buss_Distr"
"6",1989,83137.64,"Buss_Distr"
"7",1989,43189.02,"Buss_Distr"
"8",1989,27591.17,"Buss_Distr"
"9",1989,83494.03,"Buss_Distr"
"10",1989,34181.36,"Buss_Distr"
"11",1989,27467.42,"Buss_Distr"
"12",1989,8574.74,"Buss_Distr"
"13",1989,31213.81,"Buss_Distr"
"14",1990,948.43,"Buss_Distr"
"15",1990,5994.36,"Buss_Distr"
"16",1990,666.33,"Buss_Distr"
"17",1990,16170.35,"Buss_Distr"
"18",1990,11929.54,"Buss_Distr"
"19",1990,13837.68,"Buss_Distr"
"20",1990,63036.02,"Buss_Distr"
"21",1990,43333.5,"Buss_Distr"
"22",1990,19789.24,"Buss_Distr"
"23",1991,47622.64,"Buss_Distr"
"24",1991,11647.85,"Buss_Distr"
"25",1991,7493.56,"Buss_Distr"
"26",1991,40405.25,"Buss_Distr"
"27",1991,8957.13,"Buss_Distr"
"28",1991,27391.55,"Buss_Distr"
"29",1991,12845.83,"Buss_Distr"
"30",1991,28767.32,"Buss_Distr"
"31",1991,101868.95,"Buss_Distr"
"32",1991,5863.95,"Buss_Distr"
"33",1991,36088.65,"Buss_Distr"
"34",1991,23166.18,"Buss_Distr"
"35",1991,11551.81,"Buss_Distr"
"36",1991,5795.81,"Buss_Distr"
"37",1991,554.81,"Buss_Distr"
"38",1991,37386.9,"Buss_Distr"
"39",1991,26849.45,"Buss_Distr"
"40",1991,57068.37,"Buss_Distr"
"41",1992,17382,"Buss_Distr"
"42",1992,31567.13,"Buss_Distr"
"43",1992,12483.54,"Buss_Distr"
"44",1992,12553.94,"Buss_Distr"
"45",1992,11271.79,"Buss_Distr"
"46",1992,6170.25,"Buss_Distr"
"47",1992,3558,"Buss_Distr"
"48",1992,41509.76,"Buss_Distr"
"49",1992,80983.37,"Buss_Distr"
"50",1992,94200.52,"Buss_Distr"
"51",1992,90918.74,"Buss_Distr"
"52",1992,2737.89,"Buss_Distr"
"53",1992,25736.1,"Buss_Distr"
"54",1992,23491.9,"Buss_Distr"
"55",1992,32106.94,"Buss_Distr"
"56",1992,92938.43,"Buss_Distr"
"57",1992,32083.46,"Buss_Distr"
"58",1992,40936.05,"Buss_Distr"
"59",1992,68060.49,"Buss_Distr"
"60",1992,17833.97,"Buss_Distr"
"61",1993,602.5,"Buss_Distr"
