"","rok","strata","linia"
"1",1989,19999.5,"Buss_Distr"
"2",1989,45939.2,"Buss_Distr"
"3",1989,43746.02,"Buss_Distr"
"4",1990,65186.59,"Buss_Distr"
"5",1990,118658.21,"Buss_Distr"
"6",1990,30394.47,"Buss_Distr"
"7",1990,4952.92,"Buss_Distr"
"8",1990,10554.05,"Buss_Distr"
"9",1990,93373.21,"Buss_Distr"
"10",1990,63976.09,"Buss_Distr"
"11",1990,28070.87,"Buss_Distr"
"12",1990,104537.03,"Buss_Distr"
"13",1990,38957.31,"Buss_Distr"
"14",1991,71.21,"Buss_Distr"
"15",1991,13589.57,"Buss_Distr"
"16",1991,39921.39,"Buss_Distr"
"17",1991,47747.07,"Buss_Distr"
"18",1991,12690.39,"Buss_Distr"
"19",1991,36284.58,"Buss_Distr"
"20",1991,38391.36,"Buss_Distr"
"21",1991,2252.44,"Buss_Distr"
"22",1991,3859.8,"Buss_Distr"
"23",1991,35646.89,"Buss_Distr"
"24",1991,116793.75,"Buss_Distr"
"25",1991,11709.17,"Buss_Distr"
"26",1991,1427.08,"Buss_Distr"
"27",1992,6866.99,"Buss_Distr"
"28",1992,20836.86,"Buss_Distr"
"29",1992,13316.52,"Buss_Distr"
"30",1992,34574.78,"Buss_Distr"
"31",1992,10458.77,"Buss_Distr"
"32",1992,12132.11,"Buss_Distr"
"33",1992,39694.12,"Buss_Distr"
"34",1993,13463.06,"Buss_Distr"
"35",1993,5526.12,"Buss_Distr"
"36",1993,24300.05,"Buss_Distr"
"37",1993,8161.44,"Buss_Distr"
"38",1993,11655.88,"Buss_Distr"
"39",1994,42928.91,"Buss_Distr"
"40",1994,4918.47,"Buss_Distr"
"41",1994,15642.36,"Buss_Distr"
"42",1994,9306.37,"Buss_Distr"
"43",1994,7955.52,"Buss_Distr"
"44",1994,59632.56,"Buss_Distr"
"45",1994,28818.04,"Buss_Distr"
"46",1994,6294.32,"Buss_Distr"
"47",1994,18720.37,"Buss_Distr"
"48",1994,20056.74,"Buss_Distr"
"49",1994,37686.11,"Buss_Distr"
"50",1994,53809.69,"Buss_Distr"
"51",1995,40123.49,"Buss_Distr"
"52",1995,4832.96,"Buss_Distr"
"53",1995,64668.48,"Buss_Distr"
"54",1995,2813.71,"Buss_Distr"
"55",1995,8155.52,"Buss_Distr"
"56",1995,26336.06,"Buss_Distr"
"57",1995,57997.49,"Buss_Distr"
"58",1995,9408.02,"Buss_Distr"
"59",1995,3909.89,"Buss_Distr"
"60",1995,6561.34,"Buss_Distr"
"61",1996,27861.81,"Buss_Distr"
"62",1996,5876.92,"Buss_Distr"
"63",1996,29526.27,"Buss_Distr"
"64",1996,6047.85,"Buss_Distr"
"65",1996,2111.18,"Buss_Distr"
"66",1997,28177.64,"Buss_Distr"
"67",1997,21944.45,"Buss_Distr"
"68",1997,53650.74,"Buss_Distr"
"69",1997,10239.64,"Buss_Distr"
"70",1997,1949.88,"Buss_Distr"
"71",1997,71359.12,"Buss_Distr"
"72",1997,11345.41,"Buss_Distr"
"73",1998,17987.69,"Buss_Distr"
"74",1998,49.61,"Buss_Distr"
"75",1998,26207,"Buss_Distr"
"76",1998,39756.97,"Buss_Distr"
"77",1998,4021.97,"Buss_Distr"
"78",1998,16471.72,"Buss_Distr"
"79",1998,72527.69,"Buss_Distr"
"80",1998,5507.07,"Buss_Distr"
"81",1998,26322.88,"Buss_Distr"
"82",1999,55709.53,"Buss_Distr"
"83",1999,5867.81,"Buss_Distr"
"84",1999,7505.93,"Buss_Distr"
"85",1999,6359.25,"Buss_Distr"
"86",1999,118820.64,"Buss_Distr"
"87",1999,9444.06,"Buss_Distr"
"88",1999,16373.37,"Buss_Distr"
"89",1999,1241.7,"Buss_Distr"
"90",1999,952.46,"Buss_Distr"
"91",1999,7377.13,"Buss_Distr"
"92",1999,105862.82,"Buss_Distr"
"93",1999,5284.89,"Buss_Distr"
"94",2000,30516.08,"Buss_Distr"
"95",2000,97516.75,"Buss_Distr"
"96",2000,27764.33,"Buss_Distr"
"97",2000,16830.49,"Buss_Distr"
"98",2000,60606.14,"Buss_Distr"
"99",2000,2233.27,"Buss_Distr"
"100",2000,19578.73,"Buss_Distr"
"101",2000,15135.21,"Buss_Distr"
"102",2000,8272.39,"Buss_Distr"
"103",2001,24468.55,"Buss_Distr"
"104",2001,21660.3,"Buss_Distr"
"105",2001,1492.08,"Buss_Distr"
"106",2001,78489.27,"Buss_Distr"
"107",2001,15720.02,"Buss_Distr"
"108",2001,86267.11,"Buss_Distr"
"109",2001,8358.5,"Buss_Distr"
"110",2001,44053.84,"Buss_Distr"
"111",2001,31114.07,"Buss_Distr"
"112",2001,46091.73,"Buss_Distr"
"113",2002,1942.78,"Buss_Distr"
"114",2002,4673.31,"Buss_Distr"
"115",2002,4591.09,"Buss_Distr"
"116",2002,2571.57,"Buss_Distr"
"117",2002,17605.54,"Buss_Distr"
"118",2002,25713.02,"Buss_Distr"
"119",2002,5594.04,"Buss_Distr"
"120",2002,9090.97,"Buss_Distr"
"121",2002,36403.94,"Buss_Distr"
"122",2002,48371.94,"Buss_Distr"
"123",2003,12422.06,"Buss_Distr"
"124",2003,10606.54,"Buss_Distr"
"125",2003,24761.94,"Buss_Distr"
"126",2003,9599.7,"Buss_Distr"
"127",2003,26980.96,"Buss_Distr"
"128",2003,27906.07,"Buss_Distr"
"129",2003,10250.57,"Buss_Distr"
"130",2003,139280.25,"Buss_Distr"
"131",2004,3182.69,"Buss_Distr"
"132",2004,42582.06,"Buss_Distr"
"133",2004,3736.84,"Buss_Distr"
"134",2004,6666.13,"Buss_Distr"
"135",2004,19219.98,"Buss_Distr"
"136",2004,86166.6,"Buss_Distr"
"137",2005,17851.07,"Buss_Distr"
"138",2005,50246.89,"Buss_Distr"
"139",2005,215.53,"Buss_Distr"
"140",2005,41361.17,"Buss_Distr"
"141",2005,24717.82,"Buss_Distr"
"142",2005,5728.88,"Buss_Distr"
"143",2005,23218.38,"Buss_Distr"
"144",2005,24545.21,"Buss_Distr"
"145",2005,8624.59,"Buss_Distr"
"146",2005,11517.22,"Buss_Distr"
"147",2005,14642.71,"Buss_Distr"
"148",2005,3334.54,"Buss_Distr"
"149",2005,13814.5,"Buss_Distr"
"150",2006,16487.85,"Buss_Distr"
"151",2006,1957.06,"Buss_Distr"
"152",2006,13988.13,"Buss_Distr"
"153",2006,27849.27,"Buss_Distr"
"154",2006,36476.78,"Buss_Distr"
"155",2006,13150.34,"Buss_Distr"
"156",2006,4697.04,"Buss_Distr"
"157",2006,39804.95,"Buss_Distr"
"158",2006,14599.25,"Buss_Distr"
"159",2007,41609.43,"Buss_Distr"
"160",2007,1919.71,"Buss_Distr"
"161",2007,20732.5,"Buss_Distr"
"162",2007,2746.95,"Buss_Distr"
"163",2008,32172.81,"Buss_Distr"
"164",2008,6713.43,"Buss_Distr"
"165",2008,27280.61,"Buss_Distr"
"166",2008,77041.25,"Buss_Distr"
"167",2009,3300.73,"Buss_Distr"
"168",2009,1263.1,"Buss_Distr"
"169",2009,58597.81,"Buss_Distr"
"170",2009,105481.24,"Buss_Distr"
"171",2009,57905.63,"Buss_Distr"
"172",2009,12087.98,"Buss_Distr"
"173",2009,26702.52,"Buss_Distr"
"174",2009,14540.19,"Buss_Distr"
"175",2009,3359.15,"Buss_Distr"
"176",2009,37383.55,"Buss_Distr"
"177",2009,5823.56,"Buss_Distr"
"178",2010,16457.75,"Buss_Distr"
"179",2010,36133.62,"Buss_Distr"
"180",2010,7268.73,"Buss_Distr"
"181",2010,12956.98,"Buss_Distr"
